order_id,ordered_at,city,cuisine,weather_condition,traffic_level,courier_type,delivery_tier,order_value_usd,item_count,prep_time_minutes,courier_distance_km,courier_rating,batch_size,active_orders_nearby,restaurant_backlog_orders,promised_delivery_minutes,actual_delivery_minutes,tip_rate,customer_rating,was_late
FDS-700000,2025-01-01T09:00:00,Seattle,indian,clear,medium,walker,standard,53.6,2,22,6.91,4.79,1,45,9,57.6,84.7,0.039,3.52,1
FDS-700001,2025-01-01T09:35:00,Atlanta,indian,storm,high,car,standard,30.53,5,27,6.88,4.69,1,40,0,62.9,108.3,0.155,3.08,1
FDS-700002,2025-01-01T10:10:00,Phoenix,salad,rain,low,car,standard,40.03,3,24,7.45,4.77,1,47,13,62.4,102.3,0.093,3.22,1
FDS-700003,2025-01-01T10:45:00,Chicago,thai,clear,high,bike,scheduled,25.13,1,17,4.01,4.48,2,36,10,42.4,78.7,0.108,3.21,1
FDS-700004,2025-01-01T11:20:00,Austin,sushi,rain,severe,scooter,standard,44.66,3,20,5.71,4.63,1,40,14,51.0,99.3,0.146,2.86,1
FDS-700005,2025-01-01T11:55:00,New York,salad,clear,high,car,standard,20.27,1,26,4.87,4.36,2,73,5,50.7,98.4,0.132,3.45,1
FDS-700006,2025-01-01T12:30:00,Seattle,salad,clear,medium,car,standard,31.55,3,25,7.36,4.69,1,47,11,60.8,93.8,0.095,2.42,1
FDS-700007,2025-01-01T13:05:00,Chicago,burger,rain,low,car,standard,34.32,1,11,6.11,4.48,1,17,1,41.3,60.9,0.138,3.22,1
FDS-700008,2025-01-01T13:40:00,Seattle,thai,cold,medium,bike,standard,38.19,2,22,3.14,4.39,1,58,7,38.6,81.7,0.164,3.04,1
FDS-700009,2025-01-01T14:15:00,Atlanta,pizza,clear,severe,car,scheduled,17.65,4,26,1.7,4.72,1,32,11,42.0,85.5,0.077,2.98,1
FDS-700010,2025-01-01T14:50:00,Seattle,pizza,clear,medium,car,scheduled,21.99,4,27,6.47,4.97,1,43,6,63.4,89.7,0.135,3.66,1
FDS-700011,2025-01-01T15:25:00,Phoenix,thai,storm,severe,car,standard,23.91,4,22,5.06,4.98,2,49,16,48.5,113.9,0.204,2.61,1
FDS-700012,2025-01-01T16:00:00,Chicago,indian,storm,medium,car,scheduled,24.72,4,24,4.24,4.99,2,36,23,47.7,95.9,0.174,3.35,1
FDS-700013,2025-01-01T16:35:00,Chicago,mexican,storm,medium,bike,standard,28.28,2,18,5.93,4.59,1,36,10,47.1,82.6,0.121,3.59,1
FDS-700014,2025-01-01T17:10:00,New York,burger,clear,medium,scooter,standard,53.72,3,24,9.09,4.37,1,51,12,66.2,91.7,0.14,2.79,1
FDS-700015,2025-01-01T17:45:00,Seattle,sushi,heatwave,high,car,standard,25.79,3,25,5.92,4.64,1,16,13,57.7,85.9,0.121,3.42,1
FDS-700016,2025-01-01T18:20:00,Phoenix,thai,heatwave,medium,car,priority,29.41,2,24,4.21,4.98,1,35,0,41.4,62.4,0.155,3.38,1
